riot_id,name,engage,frontline,peel,disengage,pick_potential,poke,dps,burst,objective_control
420,Illaoi,0,5,1,1,1,2,5,3,3
39,Irelia,2,2,1,1,3,1,5,3,4
427,Ivern,2,1,5,5,3,2,1,1,3
40,Janna,1,0,5,5,2,3,0,1,2
59,Jarvan IV,5,3,2,2,3,1,3,3,3
24,Jax,2,3,2,1,3,0,5,3,5
126,Jayce,1,1,2,3,2,5,4,4,3
202,Jhin,2,0,2,2,4,5,2,4,2
222,Jinx,0,0,2,2,1,3,5,2,5
897,K'Sante,4,5,5,4,3,1,3,2,2
145,Kai'Sa,0,0,0,0,3,3,5,4,5
429,Kalista,2,0,3,3,2,1,5,3,5
43,Karma,1,1,5,5,2,4,2,3,2
30,Karthus,0,0,2,2,1,4,5,4,5
38,Kassadin,0,1,0,0,4,1,4,5,2
55,Katarina,0,0,0,0,3,1,4,5,1
10,Kayle,0,0,4,4,1,2,5,3,4
141,Kayn,2,2,2,1,4,1,4,4,4
85,Kennen,5,1,3,2,2,4,3,4,3
121,Kha'Zix,0,0,0,0,5,2,3,5,4
203,Kindred,0,0,3,4,2,3,5,3,5
240,Kled,5,4,1,0,3,1,4,3,3
96,Kog'Maw,0,0,1,1,1,5,5,3,5
7,LeBlanc,1,0,1,0,5,4,2,5,1
64,Lee Sin,2,2,3,3,3,1,3,3,4
89,Leona,5,5,5,3,5,0,0,1,3
876,Lillia,4,2,3,4,3,3,4,3,4
127,Lissandra,5,1,5,4,5,3,2,4,3
805,Locke,1,1,1,0,4,2,4,5,3
236,Lucian,0,0,0,0,1,3,4,4,4
117,Lulu,1,0,5,5,2,2,1,1,2
99,Lux,1,0,3,4,4,5,1,4,3
54,Malphite,5,5,3,1,2,2,1,3,2
90,Malzahar,2,0,3,2,5,3,3,3,4
57,Maokai,5,5,5,5,5,4,1,2,5
11,Master Yi,0,1,0,0,3,0,5,4,5
800,Mel,1,0,4,4,3,5,3,4,3
902,Milio,0,0,5,5,0,2,0,0,2
21,Miss Fortune,1,0,1,2,1,4,4,5,4
82,Mordekaiser,1,5,1,0,4,1,5,3,5
25,Morgana,2,1,5,4,5,4,2,3,4
950,Naafiri,1,1,0,0,5,3,3,5,3
267,Nami,3,0,5,5,3,3,0,2,2
75,Nasus,0,5,2,3,2,1,5,3,5
111,Nautilus,5,5,5,3,5,0,0,2,3
518,Neeko,5,0,3,3,4,4,2,4,3
76,Nidalee,0,0,1,2,3,5,3,4,4
895,Nilah,2,1,3,3,2,0,5,3,4
56,Nocturne,4,2,1,0,5,0,4,4,4
20,Nunu & Willump,4,5,3,3,3,1,2,3,5
2,Olaf,1,4,0,0,2,2,5,3,5
61,Orianna,4,0,5,4,3,4,3,4,4
516,Ornn,5,5,5,4,3,2,2,3,3
80,Pantheon,4,2,3,2,5,3,3,4,3
78,Poppy,4,5,5,5,4,1,2,2,5
555,Pyke,2,0,2,1,5,1,1,5,2
246,Qiyana,4,0,2,2,5,2,2,5,4
133,Quinn,0,0,2,2,4,3,4,4,2
497,Rakan,5,2,5,5,4,1,1,2,3
33,Rammus,5,5,4,2,4,0,2,2,3
421,Rek'Sai,3,3,2,2,4,1,4,4,4
526,Rell,5,5,5,3,4,0,0,1,3
888,Renata Glasc,3,0,5,5,4,2,0,1,3
58,Renekton,2,4,2,1,3,0,4,4,4
107,Rengar,1,1,1,0,5,0,3,5,4
92,Riven,2,2,2,2,3,0,4,4,4
68,Rumble,4,2,3,4,2,4,5,4,5
13,Ryze,1,1,3,2,3,2,5,3,4
360,Samira,0,0,2,2,2,1,4,5,3
113,Sejuani,5,5,5,4,5,2,1,2,4
235,Senna,1,0,4,4,3,5,4,3,3
147,Seraphine,4,0,5,5,4,5,2,3,4
875,Sett,3,5,3,2,3,0,4,4,4
35,Shaco,0,0,2,3,5,2,3,5,5
98,Shen,3,5,5,4,3,0,2,2,3
102,Shyvana,2,4,1,1,1,3,5,3,5
27,Singed,2,5,3,5,3,0,4,2,3
14,Sion,5,5,4,3,3,2,2,3,3
15,Sivir,0,0,1,4,0,4,5,2,4
72,Skarner,5,5,5,4,5,2,3,3,4
901,Smolder,0,0,1,1,1,5,5,3,4
37,Sona,3,0,5,5,2,3,1,2,2
16,Soraka,0,0,5,4,2,3,0,0,2
50,Swain,2,4,3,2,3,3,5,3,4
517,Sylas,2,2,2,1,4,1,4,4,3
134,Syndra,2,0,4,4,4,5,3,5,3
223,Tahm Kench,2,5,5,5,3,2,2,2,3
163,Taliyah,3,0,5,5,4,4,4,3,5
91,Talon,0,0,0,0,5,2,2,5,2
44,Taric,1,4,5,5,1,0,1,1,3
17,Teemo,0,0,2,3,2,4,4,3,4
412,Thresh,4,3,5,5,5,1,0,2,3
18,Tristana,1,0,3,3,2,2,5,4,5
48,Trundle,1,5,4,5,3,0,5,2,5
23,Tryndamere,0,2,0,0,3,0,5,4,5
4,Twisted Fate,1,0,2,1,5,3,2,3,2
29,Twitch,0,0,0,0,4,2,5,5,4
77,Udyr,2,5,4,3,2,1,4,3,5
6,Urgot,2,4,2,1,4,2,5,4,4
110,Varus,3,0,3,3,4,5,5,4,5
67,Vayne,0,0,2,2,2,0,5,3,5
45,Veigar,1,0,5,5,4,4,2,5,4
161,Vel'Koz,1,0,3,3,2,5,3,5,3
711,Vex,4,0,4,3,4,4,2,5,3
254,Vi,5,4,3,2,5,1,4,4,4
234,Viego,1,2,1,0,3,1,5,4,5
112,Viktor,1,0,4,4,2,5,4,4,4
8,Vladimir,0,3,0,0,1,3,5,5,3
106,Volibear,3,5,3,2,3,1,4,3,4
19,Warwick,3,5,3,2,4,0,5,3,5
62,Wukong,5,3,3,3,2,1,4,3,4
498,Xayah,0,0,4,4,2,2,5,3,4
101,Xerath,1,0,2,2,3,5,2,4,3
5,Xin Zhao,3,4,4,4,3,1,5,3,5
157,Yasuo,2,1,4,5,3,2,5,4,4
777,Yone,4,1,2,1,4,2,5,4,4
83,Yorick,0,4,2,3,2,2,5,3,5
804,Yunara,0,0,1,2,1,3,5,3,5
350,Yuumi,0,0,5,5,0,3,0,1,2
904,Zaahen,3,4,2,2,3,1,4,4,4
154,Zac,5,5,5,4,4,1,2,3,4
238,Zed,0,0,0,0,5,3,2,5,3
221,Zeri,0,0,1,1,1,4,5,3,4
115,Ziggs,1,0,4,4,2,5,3,4,4
26,Zilean,1,0,5,5,3,3,1,2,2
142,Zoe,1,0,2,2,5,5,1,5,3
143,Zyra,3,0,5,5,4,5,4,4,5
